pokemon,move,move_human,left_min_level,left_groups,right_groups
suicune,extreme-speed,Extreme Speed,1,sword-shield,scarlet-violet
suicune,sheer-cold,Sheer Cold,1,sword-shield,scarlet-violet
larvitar,dark-pulse,Dark Pulse,24,sword-shield,scarlet-violet
pupitar,dark-pulse,Dark Pulse,24,sword-shield,scarlet-violet
lugia,dragon-rush,Dragon Rush,1,sword-shield,scarlet-violet
celebi,leech-seed,Leech Seed,50,sword-shield,scarlet-violet
celebi,confusion,Confusion,1,sword-shield,scarlet-violet
celebi,recover,Recover,60,sword-shield,scarlet-violet
celebi,perish-song,Perish Song,100,sword-shield,scarlet-violet
celebi,heal-bell,Heal Bell,1,sword-shield,scarlet-violet
celebi,baton-pass,Baton Pass,20,sword-shield,scarlet-violet
celebi,ancient-power,Ancient Power,30,sword-shield,scarlet-violet
celebi,future-sight,Future Sight,70,sword-shield,scarlet-violet
celebi,magical-leaf,Magical Leaf,10,sword-shield,scarlet-violet
celebi,healing-wish,Healing Wish,80,sword-shield,scarlet-violet
celebi,leaf-storm,Leaf Storm,90,sword-shield,scarlet-violet
celebi,life-dew,Life Dew,40,sword-shield,scarlet-violet
ho-oh,burn-up,Burn Up,99,sword-shield,scarlet-violet
grovyle,false-swipe,False Swipe,1,sword-shield,scarlet-violet
grovyle,fury-cutter,Fury Cutter,1,sword-shield,scarlet-violet
grovyle,x-scissor,X Scissor,1,sword-shield,scarlet-violet
grovyle,energy-ball,Energy Ball,1,sword-shield,scarlet-violet
sceptile,false-swipe,False Swipe,1,sword-shield,scarlet-violet
sceptile,fury-cutter,Fury Cutter,1,sword-shield,scarlet-violet
sceptile,x-scissor,X Scissor,1,sword-shield,scarlet-violet
sceptile,energy-ball,Energy Ball,1,sword-shield,scarlet-violet
sceptile,dual-chop,Dual Chop,0,sword-shield,scarlet-violet
combusken,flamethrower,Flamethrower,1,sword-shield,scarlet-violet
combusken,feather-dance,Feather Dance,1,sword-shield,scarlet-violet
blaziken,fire-punch,Fire Punch,1,sword-shield,scarlet-violet
blaziken,ember,Ember,1,sword-shield,scarlet-violet
blaziken,flamethrower,Flamethrower,1,sword-shield,scarlet-violet
blaziken,feather-dance,Feather Dance,1,sword-shield,scarlet-violet
marshtomp,surf,Surf,1,sword-shield,scarlet-violet
marshtomp,earthquake,Earthquake,1,sword-shield,scarlet-violet
marshtomp,rock-smash,Rock Smash,1,sword-shield,scarlet-violet
swampert,surf,Surf,1,sword-shield,scarlet-violet
swampert,earthquake,Earthquake,1,sword-shield,scarlet-violet
swampert,rock-smash,Rock Smash,1,sword-shield,scarlet-violet
swampert,hammer-arm,Hammer Arm,1,sword-shield,scarlet-violet
zigzagoon,sand-attack,Sand Attack,3,sword-shield,scarlet-violet
zigzagoon,headbutt,Headbutt,12,sword-shield,scarlet-violet
zigzagoon,tackle,Tackle,1,sword-shield,scarlet-violet
zigzagoon,take-down,Take Down,24,sword-shield,scarlet-violet
zigzagoon,double-edge,Double-Edge,36,sword-shield,scarlet-violet
zigzagoon,tail-whip,Tail Whip,6,sword-shield,scarlet-violet
zigzagoon,pin-missile,Pin Missile,18,sword-shield,scarlet-violet
zigzagoon,growl,Growl,1,sword-shield,scarlet-violet
zigzagoon,rest,Rest,21,sword-shield,scarlet-violet
zigzagoon,flail,Flail,30,sword-shield,scarlet-violet
zigzagoon,belly-drum,Belly Drum,33,sword-shield,scarlet-violet
zigzagoon,covet,Covet,9,sword-shield,scarlet-violet
zigzagoon,fling,Fling,27,sword-shield,scarlet-violet
zigzagoon,baby-doll-eyes,Baby Doll Eyes,15,sword-shield,scarlet-violet
linoone,sand-attack,Sand Attack,1,sword-shield,scarlet-violet
linoone,headbutt,Headbutt,12,sword-shield,scarlet-violet
linoone,tackle,Tackle,1,sword-shield,scarlet-violet
linoone,take-down,Take Down,28,sword-shield,scarlet-violet
linoone,double-edge,Double-Edge,48,sword-shield,scarlet-violet
linoone,tail-whip,Tail Whip,1,sword-shield,scarlet-violet
linoone,pin-missile,Pin Missile,1,sword-shield,scarlet-violet
linoone,growl,Growl,1,sword-shield,scarlet-violet
linoone,fury-swipes,Fury Swipes,18,sword-shield,scarlet-violet
linoone,rest,Rest,23,sword-shield,scarlet-violet
linoone,slash,Slash,0,sword-shield,scarlet-violet
linoone,flail,Flail,38,sword-shield,scarlet-violet
linoone,belly-drum,Belly Drum,43,sword-shield,scarlet-violet
linoone,covet,Covet,9,sword-shield,scarlet-violet
linoone,fling,Fling,33,sword-shield,scarlet-violet
linoone,switcheroo,Switcheroo,1,sword-shield,scarlet-violet
linoone,hone-claws,Hone Claws,15,sword-shield,scarlet-violet
linoone,baby-doll-eyes,Baby Doll Eyes,1,sword-shield,scarlet-violet
lombre,rain-dance,Rain Dance,43,sword-shield,scarlet-violet
lombre,nature-power,Nature Power,30,sword-shield,scarlet-violet
seedot,nature-power,Nature Power,21,sword-shield,scarlet-violet
shiftry,whirlwind,Whirlwind,1,sword-shield,scarlet-violet
shiftry,tackle,Tackle,1,sword-shield,scarlet-violet
shiftry,absorb,Absorb,1,sword-shield,scarlet-violet
shiftry,mega-drain,Mega Drain,1,sword-shield,scarlet-violet
shiftry,growth,Growth,1,sword-shield,scarlet-violet
shiftry,razor-leaf,Razor Leaf,1,sword-shield,scarlet-violet
shiftry,harden,Harden,1,sword-shield,scarlet-violet
shiftry,explosion,Explosion,1,sword-shield,scarlet-violet
shiftry,rollout,Rollout,1,sword-shield,scarlet-violet
shiftry,swagger,Swagger,1,sword-shield,scarlet-violet
shiftry,synthesis,Synthesis,1,sword-shield,scarlet-violet
shiftry,fake-out,Fake Out,1,sword-shield,scarlet-violet
shiftry,torment,Torment,1,sword-shield,scarlet-violet
shiftry,nature-power,Nature Power,1,sword-shield,scarlet-violet
shiftry,astonish,Astonish,1,sword-shield,scarlet-violet
shiftry,extrasensory,Extrasensory,1,sword-shield,scarlet-violet
shiftry,sucker-punch,Sucker Punch,1,sword-shield,scarlet-violet
shiftry,leaf-tornado,Leaf Tornado,0,sword-shield,scarlet-violet
nuzleaf,nature-power,Nature Power,30,sword-shield,scarlet-violet
lotad,nature-power,Nature Power,24,sword-shield,scarlet-violet
ludicolo,growl,Growl,1,sword-shield,scarlet-violet
ludicolo,mist,Mist,1,sword-shield,scarlet-violet
ludicolo,water-gun,Water Gun,1,sword-shield,scarlet-violet
ludicolo,hydro-pump,Hydro Pump,1,sword-shield,scarlet-violet
ludicolo,absorb,Absorb,1,sword-shield,scarlet-violet
ludicolo,mega-drain,Mega Drain,1,sword-shield,scarlet-violet
ludicolo,fury-swipes,Fury Swipes,1,sword-shield,scarlet-violet
ludicolo,flail,Flail,1,sword-shield,scarlet-violet
ludicolo,giga-drain,Giga Drain,1,sword-shield,scarlet-violet
ludicolo,nature-power,Nature Power,1,sword-shield,scarlet-violet
ludicolo,knock-off,Knock Off,1,sword-shield,scarlet-violet
ludicolo,teeter-dance,Teeter Dance,1,sword-shield,scarlet-violet
ludicolo,astonish,Astonish,1,sword-shield,scarlet-violet
ludicolo,energy-ball,Energy Ball,1,sword-shield,scarlet-violet
ludicolo,zen-headbutt,Zen Headbutt,1,sword-shield,scarlet-violet
nincada,scratch,Scratch,1,sword-shield,scarlet-violet
nincada,sand-attack,Sand Attack,1,sword-shield,scarlet-violet
nincada,absorb,Absorb,21,sword-shield,scarlet-violet
nincada,dig,Dig,40,sword-shield,scarlet-violet
nincada,harden,Harden,5,sword-shield,scarlet-violet
nincada,fury-swipes,Fury Swipes,30,sword-shield,scarlet-violet
nincada,mind-reader,Mind Reader,35,sword-shield,scarlet-violet
nincada,mud-slap,Mud Slap,15,sword-shield,scarlet-violet
nincada,false-swipe,False Swipe,10,sword-shield,scarlet-violet
nincada,metal-claw,Metal Claw,25,sword-shield,scarlet-violet
ninjask,scratch,Scratch,1,sword-shield,scarlet-violet
ninjask,swords-dance,Swords Dance,57,sword-shield,scarlet-violet
ninjask,sand-attack,Sand Attack,1,sword-shield,scarlet-violet
ninjask,absorb,Absorb,23,sword-shield,scarlet-violet
ninjask,dig,Dig,1,sword-shield,scarlet-violet
ninjask,agility,Agility,15,sword-shield,scarlet-violet
ninjask,screech,Screech,0,sword-shield,scarlet-violet
ninjask,double-team,Double Team,0,sword-shield,scarlet-violet
ninjask,harden,Harden,1,sword-shield,scarlet-violet
ninjask,fury-swipes,Fury Swipes,36,sword-shield,scarlet-violet
ninjask,slash,Slash,50,sword-shield,scarlet-violet
ninjask,mind-reader,Mind Reader,43,sword-shield,scarlet-violet
ninjask,mud-slap,Mud Slap,1,sword-shield,scarlet-violet
ninjask,false-swipe,False Swipe,1,sword-shield,scarlet-violet
ninjask,fury-cutter,Fury Cutter,0,sword-shield,scarlet-violet
ninjask,baton-pass,Baton Pass,1,sword-shield,scarlet-violet
ninjask,metal-claw,Metal Claw,1,sword-shield,scarlet-violet
ninjask,aerial-ace,Aerial Ace,1,sword-shield,scarlet-violet
ninjask,x-scissor,X Scissor,64,sword-shield,scarlet-violet
ninjask,bug-bite,Bug Bite,29,sword-shield,scarlet-violet
whismur,pound,Pound,1,sword-shield,scarlet-violet
whismur,stomp,Stomp,21,sword-shield,scarlet-violet
whismur,roar,Roar,25,sword-shield,scarlet-violet
whismur,supersonic,Supersonic,30,sword-shield,scarlet-violet
whismur,screech,Screech,40,sword-shield,scarlet-violet
whismur,rest,Rest,15,sword-shield,scarlet-violet
whismur,sleep-talk,Sleep Talk,15,sword-shield,scarlet-violet
whismur,uproar,Uproar,35,sword-shield,scarlet-violet
whismur,hyper-voice,Hyper Voice,45,sword-shield,scarlet-violet
whismur,astonish,Astonish,1,sword-shield,scarlet-violet
whismur,howl,Howl,10,sword-shield,scarlet-violet
whismur,echoed-voice,Echoed Voice,5,sword-shield,scarlet-violet
loudred,pound,Pound,1,sword-shield,scarlet-violet
loudred,stomp,Stomp,23,sword-shield,scarlet-violet
loudred,bite,Bite,0,sword-shield,scarlet-violet
loudred,roar,Roar,29,sword-shield,scarlet-violet
loudred,supersonic,Supersonic,36,sword-shield,scarlet-violet
loudred,screech,Screech,50,sword-shield,scarlet-violet
loudred,rest,Rest,15,sword-shield,scarlet-violet
loudred,sleep-talk,Sleep Talk,15,sword-shield,scarlet-violet
loudred,uproar,Uproar,43,sword-shield,scarlet-violet
loudred,hyper-voice,Hyper Voice,57,sword-shield,scarlet-violet
loudred,astonish,Astonish,1,sword-shield,scarlet-violet
loudred,howl,Howl,1,sword-shield,scarlet-violet
loudred,echoed-voice,Echoed Voice,1,sword-shield,scarlet-violet
exploud,pound,Pound,1,sword-shield,scarlet-violet
exploud,stomp,Stomp,23,sword-shield,scarlet-violet
exploud,bite,Bite,1,sword-shield,scarlet-violet
exploud,roar,Roar,29,sword-shield,scarlet-violet
exploud,supersonic,Supersonic,36,sword-shield,scarlet-violet
exploud,hyper-beam,Hyper Beam,81,sword-shield,scarlet-violet
exploud,screech,Screech,54,sword-shield,scarlet-violet
exploud,rest,Rest,15,sword-shield,scarlet-violet
exploud,sleep-talk,Sleep Talk,15,sword-shield,scarlet-violet
exploud,crunch,Crunch,0,sword-shield,scarlet-violet
exploud,uproar,Uproar,45,sword-shield,scarlet-violet
exploud,hyper-voice,Hyper Voice,63,sword-shield,scarlet-violet
exploud,astonish,Astonish,1,sword-shield,scarlet-violet
exploud,howl,Howl,1,sword-shield,scarlet-violet
exploud,thunder-fang,Thunder Fang,1,sword-shield,scarlet-violet
exploud,ice-fang,Ice Fang,1,sword-shield,scarlet-violet
exploud,fire-fang,Fire Fang,1,sword-shield,scarlet-violet
exploud,echoed-voice,Echoed Voice,1,sword-shield,scarlet-violet
exploud,boomburst,Boomburst,72,sword-shield,scarlet-violet
shedinja,scratch,Scratch,1,sword-shield,scarlet-violet
shedinja,sand-attack,Sand Attack,1,sword-shield,scarlet-violet
shedinja,absorb,Absorb,23,sword-shield,scarlet-violet
shedinja,dig,Dig,1,sword-shield,scarlet-violet
shedinja,harden,Harden,1,sword-shield,scarlet-violet
shedinja,confuse-ray,Confuse Ray,15,sword-shield,scarlet-violet
shedinja,fury-swipes,Fury Swipes,36,sword-shield,scarlet-violet
shedinja,mind-reader,Mind Reader,43,sword-shield,scarlet-violet
shedinja,spite,Spite,57,sword-shield,scarlet-violet
shedinja,mud-slap,Mud Slap,1,sword-shield,scarlet-violet
shedinja,false-swipe,False Swipe,1,sword-shield,scarlet-violet
shedinja,metal-claw,Metal Claw,1,sword-shield,scarlet-violet
shedinja,shadow-ball,Shadow Ball,50,sword-shield,scarlet-violet
shedinja,grudge,Grudge,1,sword-shield,scarlet-violet
shedinja,shadow-claw,Shadow Claw,1,sword-shield,scarlet-violet
shedinja,shadow-sneak,Shadow Sneak,29,sword-shield,scarlet-violet
shedinja,phantom-force,Phantom Force,64,sword-shield,scarlet-violet
sableye,confuse-ray,Confuse Ray,6,sword-shield,scarlet-violet
mawile,bite,Bite,12,sword-shield,scarlet-violet
mawile,growl,Growl,1,sword-shield,scarlet-violet
mawile,baton-pass,Baton Pass,8,sword-shield,scarlet-violet
mawile,sweet-scent,Sweet Scent,32,sword-shield,scarlet-violet
mawile,crunch,Crunch,28,sword-shield,scarlet-violet
mawile,stockpile,Stockpile,16,sword-shield,scarlet-violet
mawile,spit-up,Spit Up,16,sword-shield,scarlet-violet
mawile,swallow,Swallow,16,sword-shield,scarlet-violet
mawile,taunt,Taunt,40,sword-shield,scarlet-violet
mawile,astonish,Astonish,1,sword-shield,scarlet-violet
mawile,fake-tears,Fake Tears,44,sword-shield,scarlet-violet
mawile,iron-defense,Iron Defense,24,sword-shield,scarlet-violet
mawile,sucker-punch,Sucker Punch,20,sword-shield,scarlet-violet
mawile,iron-head,Iron Head,36,sword-shield,scarlet-violet
mawile,play-rough,Play Rough,48,sword-shield,scarlet-violet
mawile,fairy-wind,Fairy Wind,4,sword-shield,scarlet-violet
lairon,headbutt,Headbutt,16,sword-shield,scarlet-violet
lairon,tackle,Tackle,1,sword-shield,scarlet-violet
lairon,take-down,Take Down,40,sword-shield,scarlet-violet
lairon,double-edge,Double-Edge,70,sword-shield,scarlet-violet
lairon,roar,Roar,12,sword-shield,scarlet-violet
lairon,harden,Harden,1,sword-shield,scarlet-violet
lairon,rock-slide,Rock Slide,24,sword-shield,scarlet-violet
lairon,protect,Protect,20,sword-shield,scarlet-violet
lairon,iron-tail,Iron Tail,52,sword-shield,scarlet-violet
lairon,metal-claw,Metal Claw,1,sword-shield,scarlet-violet
lairon,rock-tomb,Rock Tomb,1,sword-shield,scarlet-violet
lairon,metal-sound,Metal Sound,35,sword-shield,scarlet-violet
lairon,iron-defense,Iron Defense,58,sword-shield,scarlet-violet
lairon,metal-burst,Metal Burst,76,sword-shield,scarlet-violet
lairon,iron-head,Iron Head,28,sword-shield,scarlet-violet
lairon,autotomize,Autotomize,46,sword-shield,scarlet-violet
lairon,heavy-slam,Heavy Slam,64,sword-shield,scarlet-violet
aggron,headbutt,Headbutt,16,sword-shield,scarlet-violet
aggron,tackle,Tackle,1,sword-shield,scarlet-violet
aggron,take-down,Take Down,40,sword-shield,scarlet-violet
aggron,double-edge,Double-Edge,80,sword-shield,scarlet-violet
aggron,roar,Roar,12,sword-shield,scarlet-violet
aggron,harden,Harden,1,sword-shield,scarlet-violet
aggron,rock-slide,Rock Slide,24,sword-shield,scarlet-violet
aggron,protect,Protect,20,sword-shield,scarlet-violet
aggron,iron-tail,Iron Tail,56,sword-shield,scarlet-violet
aggron,metal-claw,Metal Claw,1,sword-shield,scarlet-violet
aggron,rock-tomb,Rock Tomb,1,sword-shield,scarlet-violet
aggron,metal-sound,Metal Sound,35,sword-shield,scarlet-violet
aggron,iron-defense,Iron Defense,64,sword-shield,scarlet-violet
aggron,metal-burst,Metal Burst,88,sword-shield,scarlet-violet
aggron,iron-head,Iron Head,28,sword-shield,scarlet-violet
aggron,autotomize,Autotomize,48,sword-shield,scarlet-violet
aggron,heavy-slam,Heavy Slam,72,sword-shield,scarlet-violet
manectric,tackle,Tackle,1,sword-shield,scarlet-violet
manectric,leer,Leer,1,sword-shield,scarlet-violet
manectric,bite,Bite,20,sword-shield,scarlet-violet
manectric,roar,Roar,30,sword-shield,scarlet-violet
manectric,thunder-wave,Thunder Wave,1,sword-shield,scarlet-violet
manectric,thunder,Thunder,54,sword-shield,scarlet-violet
manectric,quick-attack,Quick Attack,12,sword-shield,scarlet-violet
manectric,charge,Charge,42,sword-shield,scarlet-violet
manectric,howl,Howl,1,sword-shield,scarlet-violet
manectric,shock-wave,Shock Wave,16,sword-shield,scarlet-violet
manectric,thunder-fang,Thunder Fang,24,sword-shield,scarlet-violet
manectric,fire-fang,Fire Fang,1,sword-shield,scarlet-violet
manectric,discharge,Discharge,36,sword-shield,scarlet-violet
manectric,wild-charge,Wild Charge,48,sword-shield,scarlet-violet
manectric,electric-terrain,Electric Terrain,60,sword-shield,scarlet-violet
electrike,tackle,Tackle,1,sword-shield,scarlet-violet
electrike,leer,Leer,4,sword-shield,scarlet-violet
electrike,bite,Bite,20,sword-shield,scarlet-violet
electrike,roar,Roar,28,sword-shield,scarlet-violet
electrike,thunder-wave,Thunder Wave,1,sword-shield,scarlet-violet
electrike,thunder,Thunder,44,sword-shield,scarlet-violet
electrike,quick-attack,Quick Attack,12,sword-shield,scarlet-violet
electrike,charge,Charge,36,sword-shield,scarlet-violet
electrike,howl,Howl,8,sword-shield,scarlet-violet
electrike,shock-wave,Shock Wave,16,sword-shield,scarlet-violet
electrike,thunder-fang,Thunder Fang,24,sword-shield,scarlet-violet
electrike,discharge,Discharge,32,sword-shield,scarlet-violet
electrike,wild-charge,Wild Charge,40,sword-shield,scarlet-violet
roselia,poison-sting,Poison Sting,0,sword-shield,scarlet-violet
roselia,absorb,Absorb,1,sword-shield,scarlet-violet
roselia,mega-drain,Mega Drain,5,sword-shield,scarlet-violet
roselia,leech-seed,Leech Seed,10,sword-shield,scarlet-violet
roselia,growth,Growth,1,sword-shield,scarlet-violet
roselia,stun-spore,Stun Spore,1,sword-shield,scarlet-violet
roselia,petal-dance,Petal Dance,60,sword-shield,scarlet-violet
roselia,toxic,Toxic,40,sword-shield,scarlet-violet
roselia,giga-drain,Giga Drain,30,sword-shield,scarlet-violet
roselia,sweet-scent,Sweet Scent,25,sword-shield,scarlet-violet
roselia,synthesis,Synthesis,35,sword-shield,scarlet-violet
roselia,ingrain,Ingrain,55,sword-shield,scarlet-violet
roselia,aromatherapy,Aromatherapy,50,sword-shield,scarlet-violet
roselia,magical-leaf,Magical Leaf,15,sword-shield,scarlet-violet
roselia,worry-seed,Worry Seed,1,sword-shield,scarlet-violet
roselia,toxic-spikes,Toxic Spikes,20,sword-shield,scarlet-violet
roselia,petal-blizzard,Petal Blizzard,45,sword-shield,scarlet-violet
carvanha,take-down,Take Down,44,sword-shield,scarlet-violet
carvanha,leer,Leer,1,sword-shield,scarlet-violet
carvanha,bite,Bite,16,sword-shield,scarlet-violet
carvanha,agility,Agility,36,sword-shield,scarlet-violet
carvanha,screech,Screech,24,sword-shield,scarlet-violet
carvanha,focus-energy,Focus Energy,8,sword-shield,scarlet-violet
carvanha,scary-face,Scary Face,12,sword-shield,scarlet-violet
carvanha,swagger,Swagger,28,sword-shield,scarlet-violet
carvanha,crunch,Crunch,32,sword-shield,scarlet-violet
carvanha,poison-fang,Poison Fang,4,sword-shield,scarlet-violet
carvanha,ice-fang,Ice Fang,20,sword-shield,scarlet-violet
carvanha,aqua-jet,Aqua Jet,1,sword-shield,scarlet-violet
carvanha,liquidation,Liquidation,40,sword-shield,scarlet-violet
aron,headbutt,Headbutt,16,sword-shield,scarlet-violet
aron,tackle,Tackle,1,sword-shield,scarlet-violet
aron,take-down,Take Down,36,sword-shield,scarlet-violet
aron,double-edge,Double-Edge,56,sword-shield,scarlet-violet
aron,roar,Roar,12,sword-shield,scarlet-violet
aron,harden,Harden,1,sword-shield,scarlet-violet
aron,rock-slide,Rock Slide,24,sword-shield,scarlet-violet
aron,protect,Protect,20,sword-shield,scarlet-violet
aron,iron-tail,Iron Tail,44,sword-shield,scarlet-violet
aron,metal-claw,Metal Claw,4,sword-shield,scarlet-violet
aron,rock-tomb,Rock Tomb,8,sword-shield,scarlet-violet
aron,metal-sound,Metal Sound,33,sword-shield,scarlet-violet
aron,iron-defense,Iron Defense,48,sword-shield,scarlet-violet
aron,metal-burst,Metal Burst,60,sword-shield,scarlet-violet
aron,iron-head,Iron Head,28,sword-shield,scarlet-violet
aron,autotomize,Autotomize,40,sword-shield,scarlet-violet
aron,heavy-slam,Heavy Slam,52,sword-shield,scarlet-violet
sharpedo,take-down,Take Down,52,sword-shield,scarlet-violet
sharpedo,leer,Leer,1,sword-shield,scarlet-violet
sharpedo,bite,Bite,16,sword-shield,scarlet-violet
sharpedo,agility,Agility,40,sword-shield,scarlet-violet
sharpedo,screech,Screech,24,sword-shield,scarlet-violet
sharpedo,focus-energy,Focus Energy,1,sword-shield,scarlet-violet
sharpedo,slash,Slash,0,sword-shield,scarlet-violet
sharpedo,scary-face,Scary Face,12,sword-shield,scarlet-violet
sharpedo,swagger,Swagger,28,sword-shield,scarlet-violet
sharpedo,crunch,Crunch,34,sword-shield,scarlet-violet
sharpedo,poison-fang,Poison Fang,1,sword-shield,scarlet-violet
sharpedo,night-slash,Night Slash,1,sword-shield,scarlet-violet
sharpedo,ice-fang,Ice Fang,20,sword-shield,scarlet-violet
sharpedo,aqua-jet,Aqua Jet,1,sword-shield,scarlet-violet
sharpedo,liquidation,Liquidation,46,sword-shield,scarlet-violet
wailmer,body-slam,Body Slam,36,sword-shield,scarlet-violet
wailmer,growl,Growl,3,sword-shield,scarlet-violet
wailmer,mist,Mist,15,sword-shield,scarlet-violet
wailmer,water-gun,Water Gun,12,sword-shield,scarlet-violet
wailmer,hydro-pump,Hydro Pump,45,sword-shield,scarlet-violet
wailmer,amnesia,Amnesia,42,sword-shield,scarlet-violet
wailmer,splash,Splash,1,sword-shield,scarlet-violet
wailmer,rest,Rest,39,sword-shield,scarlet-violet
wailmer,whirlpool,Whirlpool,27,sword-shield,scarlet-violet
wailmer,dive,Dive,30,sword-shield,scarlet-violet
wailmer,astonish,Astonish,6,sword-shield,scarlet-violet
wailmer,water-spout,Water Spout,48,sword-shield,scarlet-violet
wailmer,bounce,Bounce,33,sword-shield,scarlet-violet
wailmer,water-pulse,Water Pulse,18,sword-shield,scarlet-violet
wailmer,brine,Brine,24,sword-shield,scarlet-violet
wailmer,heavy-slam,Heavy Slam,21,sword-shield,scarlet-violet
wailord,body-slam,Body Slam,36,sword-shield,scarlet-violet
wailord,growl,Growl,1,sword-shield,scarlet-violet
wailord,mist,Mist,15,sword-shield,scarlet-violet
wailord,water-gun,Water Gun,1,sword-shield,scarlet-violet
wailord,hydro-pump,Hydro Pump,49,sword-shield,scarlet-violet
wailord,amnesia,Amnesia,44,sword-shield,scarlet-violet
wailord,splash,Splash,1,sword-shield,scarlet-violet
wailord,rest,Rest,39,sword-shield,scarlet-violet
wailord,whirlpool,Whirlpool,27,sword-shield,scarlet-violet
wailord,dive,Dive,30,sword-shield,scarlet-violet
wailord,astonish,Astonish,1,sword-shield,scarlet-violet
wailord,water-spout,Water Spout,54,sword-shield,scarlet-violet
wailord,bounce,Bounce,33,sword-shield,scarlet-violet
wailord,water-pulse,Water Pulse,18,sword-shield,scarlet-violet
wailord,brine,Brine,24,sword-shield,scarlet-violet
wailord,heavy-slam,Heavy Slam,21,sword-shield,scarlet-violet
wailord,soak,Soak,1,sword-shield,scarlet-violet
wailord,noble-roar,Noble Roar,1,sword-shield,scarlet-violet
vibrava,supersonic,Supersonic,1,sword-shield,scarlet-violet
vibrava,fissure,Fissure,1,sword-shield,scarlet-violet
vibrava,crunch,Crunch,1,sword-shield,scarlet-violet
vibrava,superpower,Superpower,1,sword-shield,scarlet-violet
vibrava,astonish,Astonish,1,sword-shield,scarlet-violet
vibrava,bulldoze,Bulldoze,1,sword-shield,scarlet-violet
vibrava,laser-focus,Laser Focus,1,sword-shield,scarlet-violet
flygon,bite,Bite,1,sword-shield,scarlet-violet
flygon,fissure,Fissure,1,sword-shield,scarlet-violet
flygon,dig,Dig,1,sword-shield,scarlet-violet
flygon,crunch,Crunch,1,sword-shield,scarlet-violet
flygon,superpower,Superpower,1,sword-shield,scarlet-violet
flygon,astonish,Astonish,1,sword-shield,scarlet-violet
flygon,dragon-dance,Dragon Dance,1,sword-shield,scarlet-violet
flygon,feint,Feint,1,sword-shield,scarlet-violet
flygon,laser-focus,Laser Focus,1,sword-shield,scarlet-violet
trapinch,laser-focus,Laser Focus,4,sword-shield,scarlet-violet
solrock,tackle,Tackle,1,sword-shield,scarlet-violet
solrock,solar-beam,Solar Beam,40,sword-shield,scarlet-violet
solrock,rock-throw,Rock Throw,1,sword-shield,scarlet-violet
solrock,confusion,Confusion,1,sword-shield,scarlet-violet
solrock,psychic,Psychic,30,sword-shield,scarlet-violet
solrock,hypnosis,Hypnosis,5,sword-shield,scarlet-violet
solrock,harden,Harden,1,sword-shield,scarlet-violet
solrock,explosion,Explosion,50,sword-shield,scarlet-violet
solrock,rock-slide,Rock Slide,15,sword-shield,scarlet-violet
solrock,morning-sun,Morning Sun,1,sword-shield,scarlet-violet
solrock,cosmic-power,Cosmic Power,25,sword-shield,scarlet-violet
solrock,flare-blitz,Flare Blitz,1,sword-shield,scarlet-violet
solrock,rock-polish,Rock Polish,10,sword-shield,scarlet-violet
solrock,zen-headbutt,Zen Headbutt,20,sword-shield,scarlet-violet
solrock,stone-edge,Stone Edge,35,sword-shield,scarlet-violet
solrock,wonder-room,Wonder Room,45,sword-shield,scarlet-violet
baltoy,psybeam,Psybeam,15,sword-shield,scarlet-violet
baltoy,confusion,Confusion,6,sword-shield,scarlet-violet
baltoy,harden,Harden,1,sword-shield,scarlet-violet
baltoy,self-destruct,Self Destruct,33,sword-shield,scarlet-violet
baltoy,explosion,Explosion,42,sword-shield,scarlet-violet
baltoy,mud-slap,Mud Slap,1,sword-shield,scarlet-violet
baltoy,sandstorm,Sandstorm,39,sword-shield,scarlet-violet
baltoy,rapid-spin,Rapid Spin,3,sword-shield,scarlet-violet
baltoy,ancient-power,Ancient Power,18,sword-shield,scarlet-violet
baltoy,imprison,Imprison,21,sword-shield,scarlet-violet
baltoy,rock-tomb,Rock Tomb,9,sword-shield,scarlet-violet
baltoy,cosmic-power,Cosmic Power,24,sword-shield,scarlet-violet
baltoy,extrasensory,Extrasensory,27,sword-shield,scarlet-violet
baltoy,power-trick,Power Trick,12,sword-shield,scarlet-violet
baltoy,earth-power,Earth Power,30,sword-shield,scarlet-violet
baltoy,guard-split,Guard Split,36,sword-shield,scarlet-violet
baltoy,power-split,Power Split,36,sword-shield,scarlet-violet
claydol,psybeam,Psybeam,15,sword-shield,scarlet-violet
claydol,hyper-beam,Hyper Beam,0,sword-shield,scarlet-violet
claydol,confusion,Confusion,1,sword-shield,scarlet-violet
claydol,teleport,Teleport,1,sword-shield,scarlet-violet
claydol,harden,Harden,1,sword-shield,scarlet-violet
claydol,self-destruct,Self Destruct,33,sword-shield,scarlet-violet
claydol,explosion,Explosion,48,sword-shield,scarlet-violet
claydol,mud-slap,Mud Slap,1,sword-shield,scarlet-violet
claydol,sandstorm,Sandstorm,43,sword-shield,scarlet-violet
claydol,rapid-spin,Rapid Spin,1,sword-shield,scarlet-violet
claydol,ancient-power,Ancient Power,18,sword-shield,scarlet-violet
claydol,imprison,Imprison,21,sword-shield,scarlet-violet
claydol,rock-tomb,Rock Tomb,9,sword-shield,scarlet-violet
claydol,cosmic-power,Cosmic Power,24,sword-shield,scarlet-violet
claydol,extrasensory,Extrasensory,27,sword-shield,scarlet-violet
claydol,power-trick,Power Trick,12,sword-shield,scarlet-violet
